Player,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,Experience,cluster_id
BC Lara (ICC/WI),299,289,32,10405,169,40.48,13086,79.51,19,63,16,17,1
TM Dilshan (SL),330,303,41,10290,161,39.27,11933,86.23,22,47,11,17,1
Mohammad Yousuf (Asia/PAK),288,273,40,9720,141,41.71,12942,75.1,15,64,15,12,1
AC Gilchrist (AUS/ICC),287,279,11,9619,172,35.89,9922,96.94,16,55,19,12,1
MS Dhoni (Asia/INDIA),295,255,70,9496,183,51.32,10706,88.69,10,64,8,13,1
M Azharuddin (INDIA),334,308,54,9378,153,36.92,12669,74.02,7,58,9,15,1
PA de Silva (SL),308,296,30,9284,145,34.9,11443,81.13,11,64,17,19,1
CH Gayle (ICC/WI),269,264,17,9221,215,37.33,10834,85.11,22,47,23,16,1
Saeed Anwar (PAK),247,244,19,8824,194,39.21,10938,80.67,20,43,15,14,1
S Chanderpaul (WI),268,251,40,8778,150,41.6,12408,70.74,11,59,6,17,1
Yuvraj Singh (Asia/INDIA),304,278,40,8701,150,36.55,9924,87.67,14,52,18,17,1
DL Haynes (WI),238,237,28,8648,152,41.37,13707,63.09,17,57,13,16,1
MS Atapattu (SL),268,259,32,8529,132,37.57,12594,67.72,11,59,13,17,1
ME Waugh (AUS),244,236,20,8500,173,39.35,11053,76.9,18,50,16,14,1
HH Gibbs (SA),248,240,16,8094,175,36.13,9721,83.26,21,37,22,14,1
Shahid Afridi (Asia/ICC/PAK),398,369,27,8064,124,23.57,6892,117.0,6,39,30,19,1
SP Fleming (ICC/NZ),280,269,21,8037,134,32.4,11242,71.49,8,49,17,13,1
MJ Clarke (AUS),245,223,44,7981,130,44.58,10104,78.98,8,58,10,12,1
SR Waugh (AUS),325,288,58,7569,120,32.9,9971,75.91,3,45,15,16,1
A Ranatunga (SL),269,255,47,7456,131,35.84,9571,77.9,4,49,18,17,1
Javed Miandad (PAK),233,218,41,7381,119,41.7,11014,67.01,8,50,8,21,1
Younis Khan (PAK),265,255,23,7249,144,31.24,9628,75.29,7,48,22,15,1
Saleem Malik (PAK),283,256,38,7170,102,32.88,9383,76.41,5,47,19,17,1
Shoaib Malik (PAK),252,228,36,6765,143,35.23,8278,81.72,9,39,13,18,1
GW Flower (ZIM),221,214,18,6571,142,33.52,9723,67.58,6,40,18,18,1
BB McCullum (NZ),260,228,28,6083,166,30.41,6312,96.37,5,32,20,14,1
