Player,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,Experience,cluster_id
NJ Astle (NZ),223,217,14,7090,145,34.92,9760,72.64,16,41,19,12,0
GC Smith (Afr/SA),197,194,10,6989,141,37.98,8648,80.81,10,47,8,11,0
MG Bevan (AUS),232,196,67,6912,108,53.58,9320,74.16,6,46,5,10,0
A Flower (ZIM),213,208,16,6786,145,35.34,9097,74.59,4,55,13,11,0
Ijaz Ahmed (PAK),250,232,29,6564,139,32.33,8174,80.3,10,37,14,14,0
AR Border (AUS),273,252,39,6524,127,30.62,9134,71.42,3,39,11,15,0
LRPL Taylor (NZ),190,176,29,6486,131,44.12,7906,82.03,17,37,9,11,0
RB Richardson (WI),224,217,30,6248,122,33.41,9801,63.74,5,44,8,13,0
WU Tharanga (Asia/SL),204,193,14,6140,174,34.3,8183,75.03,14,34,15,12,0
DM Jones (AUS),164,161,25,6068,145,44.61,8362,72.56,7,46,6,10,0
DC Boon (AUS),181,177,16,5964,122,37.04,9157,65.13,5,37,6,11,0
JN Rhodes (SA),245,220,51,5935,121,35.11,7336,80.9,2,33,12,11,0
Mohammad Hafeez (PAK),190,190,12,5876,140,33.01,7774,75.58,11,32,16,14,0
Rameez Raja (PAK),198,197,15,5841,119,32.09,9226,63.31,9,31,15,12,0
RR Sarwan (WI),181,169,33,5804,120,42.67,7663,75.74,5,38,8,13,0
EJG Morgan (ENG/IRE),185,174,25,5772,124,38.73,6513,88.62,11,34,12,11,0
CL Hooper (WI),227,206,43,5761,113,35.34,7517,76.63,7,29,7,16,0
Tamim Iqbal (BDESH),173,171,4,5743,154,34.38,7333,78.31,9,38,16,10,0
SK Raina (INDIA),223,192,35,5568,116,35.46,5938,93.76,5,36,14,10,0
WJ Cronje (SA),188,175,31,5565,112,38.64,7277,76.47,2,39,8,8,0
MEK Hussey (AUS),185,157,44,5442,109,48.15,6243,87.16,3,39,3,8,0
IR Bell (ENG),161,157,14,5416,141,37.87,7019,77.16,4,35,6,11,0
A Jadeja (INDIA),196,179,36,5359,119,37.47,7677,69.8,6,30,10,8,0
DR Martyn (AUS),208,182,51,5346,144,40.8,6877,77.73,5,37,10,14,0
BRM Taylor (ZIM),167,166,15,5258,145,34.82,7060,74.47,8,32,13,11,0
G Gambhir (INDIA),147,143,11,5238,150,39.68,6144,85.25,11,34,11,10,0
ADR Campbell (ZIM),188,184,14,5185,131,30.5,7834,66.18,7,30,11,11,0
MN Samuels (WI),187,177,26,5180,133,34.3,6794,76.24,10,28,10,16,0
RS Mahanama (SL),213,198,23,5162,119,29.49,8521,60.57,4,35,15,13,0
CG Greenidge (WI),128,127,13,5134,133,45.03,7908,64.92,11,31,3,16,0
Misbah-ul-Haq (PAK),162,149,31,5122,96,43.4,6945,73.75,0,42,6,13,0
PD Collingwood (ENG),197,181,37,5092,120,35.36,6614,76.98,5,26,7,10,0
A Symonds (AUS),198,161,33,5088,156,39.75,5504,92.44,6,30,15,11,0
Abdul Razzaq (Asia/PAK),265,228,57,5080,112,29.7,6252,81.25,3,23,14,15,0
